"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "MS SQL", "HTML", "comment", "blank", "total"
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\auth.routes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 25, 6, 43
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\examYear.routes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\pomodoro.routes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\spacedRepetition.routes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 21, 7, 38
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\stats.routes.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 72, 19, 114
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\studyPlan.routes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 59, 17, 104
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\studyPlanAnalysis.routes.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\studySession.routes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 24, 7, 46
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\subject.routes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 15, 5, 29
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\topicQuestionCount.routes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\routes\user.routes.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\server.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\ai\openai.service.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 28, 21, 168
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\ai\performanceAnalysis.service.js", "JavaScript", 0, 0, 356, 0, 0, 0, 0, 0, 38, 43, 437
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\ai\questionSolver.service.js", "JavaScript", 0, 0, 274, 0, 0, 0, 0, 0, 39, 41, 354
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\ai\studyPlanGenerator.service.js", "JavaScript", 0, 0, 554, 0, 0, 0, 0, 0, 91, 102, 747
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\auth.service.js", "JavaScript", 0, 0, 311, 0, 0, 0, 0, 0, 35, 37, 383
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\dailyGuidance.service.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 0, 24, 21, 211
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\examDate.service.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 23, 20, 136
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\examYear.service.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 21, 17, 157
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\pomodoro.service.js", "JavaScript", 0, 0, 186, 0, 0, 0, 0, 0, 18, 29, 233
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\spacedRepetition.service.js", "JavaScript", 0, 0, 231, 0, 0, 0, 0, 0, 59, 36, 326
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\stats.service.js", "JavaScript", 0, 0, 996, 0, 0, 0, 0, 0, 100, 134, 1230
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\studyPlan.service.js", "JavaScript", 0, 0, 550, 0, 0, 0, 0, 0, 76, 85, 711
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\studyPlanAnalysis.service.js", "JavaScript", 0, 0, 354, 0, 0, 0, 0, 0, 55, 53, 462
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\studySession.service.js", "JavaScript", 0, 0, 252, 0, 0, 0, 0, 0, 25, 35, 312
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\subject.service.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 0, 17, 28, 257
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\services\topicQuestionCount.service.js", "JavaScript", 0, 0, 149, 0, 0, 0, 0, 0, 24, 21, 194
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\utils\logger.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\validators\auth.validator.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 10, 13, 119
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\validators\studyPlan.validator.js", "JavaScript", 0, 0, 299, 0, 0, 0, 0, 0, 21, 41, 361
"c:\Users\bm123\Documents\VSCode\AceIt\backend\src\validators\studySession.validator.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 9, 21, 185
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 1, 2, 19
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\package-lock.json", "JSON", 5085, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5086
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 4, 17, 169
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\admin.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 4, 4, 36
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\ai.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 45, 16, 111
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\auth.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 5, 5, 44
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\axios.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 8, 9, 101
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\pomodoro.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\stats.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 19, 19, 98
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\studyPlan.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 5, 15, 40
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\studySessions.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 6, 6, 28
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\api\subjects.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
